leg,cart_offset,length,dest,mode,above_16m
2p-stages,0x04426800,0x9800,0x0de573e0,DMA,1
2p-stages,0x04430000,0x9800,0x0de60be0,DMA,1
2p-stages,0x04439800,0x9800,0x0de6a3e0,DMA,1
2p-stages,0x04443000,0x9800,0x0de73be0,DMA,1
2p-stages,0x0444c800,0x9800,0x0de7d3e0,DMA,1
2p-stages,0x04456000,0x4800,0x0de86be0,DMA,1
2p-stages,0x0445a800,0x9800,0x0de4dbe0,DMA,1
2p-stages,0x04464000,0x9800,0x0de573e0,DMA,1
2p-stages,0x0446d800,0x9800,0x0de60be0,DMA,1
2p-stages,0x04477000,0x9800,0x0de6a3e0,DMA,1
2p-stages,0x04480800,0x9800,0x0de73be0,DMA,1
2p-stages,0x0448a000,0x9800,0x0de7d3e0,DMA,1
2p-stages,0x04493800,0x4800,0x0de86be0,DMA,1
2p-stages,0x04498000,0x9800,0x0de4dbe0,DMA,1
2p-stages,0x044a1800,0x9800,0x0de573e0,DMA,1
2p-stages,0x044ab000,0x9800,0x0de60be0,DMA,1
2p-stages,0x044b4800,0x9800,0x0de6a3e0,DMA,1
2p-stages,0x044be000,0x9800,0x0de73be0,DMA,1
2p-stages,0x044c7800,0x9800,0x0de7d3e0,DMA,1
2p-stages,0x044d1000,0x4800,0x0de86be0,DMA,1
2p-stages,0x044d5800,0x9800,0x0de4dbe0,DMA,1
2p-stages,0x044df000,0x9800,0x0de573e0,DMA,1
2p-stages,0x044e8800,0x9800,0x0de60be0,DMA,1
2p-stages,0x044f2000,0x9800,0x0de6a3e0,DMA,1
2p-stages,0x044fb800,0x9800,0x0de73be0,DMA,1
2p-stages,0x04505000,0x9800,0x0de7d3e0,DMA,1
2p-stages,0x0450e800,0x4800,0x0de86be0,DMA,1
2p-stages,0x04513000,0x9800,0x0de4dbe0,DMA,1
2p-stages,0x0451c800,0x9800,0x0de573e0,DMA,1
2p-stages,0x04526000,0x9800,0x0de60be0,DMA,1
2p-stages,0x0452f800,0x9800,0x0de6a3e0,DMA,1
2p-stages,0x04539000,0x9800,0x0de73be0,DMA,1
2p-stages,0x04542800,0x9800,0x0de7d3e0,DMA,1
2p-stages,0x0454c000,0x4800,0x0de86be0,DMA,1
2p-stages,0x04550800,0x9800,0x0de4dbe0,DMA,1
2p-stages,0x0455a000,0x9800,0x0de573e0,DMA,1
2p-stages,0x04563800,0x9800,0x0de60be0,DMA,1
2p-stages,0x0456d000,0x9800,0x0de6a3e0,DMA,1
2p-stages,0x04576800,0x9800,0x0de73be0,DMA,1
2p-stages,0x04580000,0x9800,0x0de7d3e0,DMA,1
2p-stages,0x04589800,0x4800,0x0de86be0,DMA,1
2p-stages,0x0458e000,0x9800,0x0de4dbe0,DMA,1
2p-stages,0x04597800,0x9800,0x0de573e0,DMA,1
2p-stages,0x045a1000,0x9800,0x0de60be0,DMA,1
2p-stages,0x045aa800,0x9800,0x0de6a3e0,DMA,1
2p-stages,0x045b4000,0x9800,0x0de73be0,DMA,1
2p-stages,0x045bd800,0x9800,0x0de7d3e0,DMA,1
2p-stages,0x045c7000,0x4800,0x0de86be0,DMA,1
2p-stages,0x045cb800,0x9800,0x0de4dbe0,DMA,1
2p-stages,0x045d5000,0x9800,0x0de573e0,DMA,1
2p-stages,0x045de800,0x9800,0x0de60be0,DMA,1
2p-stages,0x045e8000,0x9800,0x0de6a3e0,DMA,1
2p-stages,0x045f1800,0x9800,0x0de73be0,DMA,1
2p-stages,0x045fb000,0x9800,0x0de7d3e0,DMA,1
2p-stages,0x04604800,0x4800,0x0de86be0,DMA,1
2p-stages,0x04609000,0x9800,0x0de4dbe0,DMA,1
2p-stages,0x04612800,0x9800,0x0de573e0,DMA,1
2p-stages,0x0461c000,0x9800,0x0de60be0,DMA,1
2p-stages,0x04625800,0x9800,0x0de6a3e0,DMA,1
2p-stages,0x0462f000,0x9800,0x0de73be0,DMA,1
2p-stages,0x04638800,0x9800,0x0de7d3e0,DMA,1
2p-stages,0x04642000,0x4800,0x0de86be0,DMA,1
2p-stages,0x04646800,0x9800,0x0de4dbe0,DMA,1
2p-stages,0x04650000,0x9800,0x0de573e0,DMA,1
char-mika,0x0493f800,0x1800,0x0ddc2960,DMA,1
char-mika,0x04941000,0x4800,0x0ddc2960,DMA,1
char-mika,0x04945800,0xc800,0x0ddc2960,DMA,1
char-mika,0x04952000,0x6000,0x0ddcf160,DMA,1
char-mika,0x04958000,0xb800,0x0ddc2960,DMA,1
char-lili,0x04bf6800,0x1800,0x0dd7d020,DMA,1
char-lili,0x04bf8000,0x4800,0x0dd7d020,DMA,1
char-lili,0x04bfc800,0x4800,0x0dd7d020,DMA,1
char-lili,0x04c01000,0x6800,0x0dd7d020,DMA,1
2p-stages,0x04c74000,0x6000,0x0ddc2960,DMA,1
2p-stages,0x04c83000,0x3000,0x0ddc2960,DMA,1
2p-stages,0x04c86000,0x6000,0x0ddc2960,DMA,1
2p-stages,0x04c92800,0x6000,0x0ddc2960,DMA,1
2p-stages,0x04c98800,0x3800,0x0ddc2960,DMA,1
char-mika,0x04c9d800,0x5800,0x0ddc2960,DMA,1
2p-stages,0x04ca3000,0xc800,0x0de4dbe0,DMA,1
2p-stages,0x04caf800,0x31000,0x0de5a3e0,DMA,1
2p-stages,0x04ce0800,0x9800,0x0de4dbe0,DMA,1
2p-stages,0x04cea000,0x9800,0x0de573e0,DMA,1
2p-stages,0x04cf3800,0x9800,0x0de60be0,DMA,1
2p-stages,0x04cfd000,0x9800,0x0de6a3e0,DMA,1
2p-stages,0x04d06800,0x9800,0x0de73be0,DMA,1
2p-stages,0x04d10000,0x9800,0x0de7d3e0,DMA,1
2p-stages,0x04d19800,0x4800,0x0de86be0,DMA,1
2p-stages,0x04d1e000,0x9800,0x0de4dbe0,DMA,1
2p-stages,0x04d27800,0x9800,0x0de573e0,DMA,1
2p-stages,0x04d31000,0x9800,0x0de60be0,DMA,1
2p-stages,0x04d3a800,0x9800,0x0de6a3e0,DMA,1
2p-stages,0x04d44000,0x9800,0x0de73be0,DMA,1
2p-stages,0x04d4d800,0x9800,0x0de7d3e0,DMA,1
2p-stages,0x04d57000,0x4800,0x0de86be0,DMA,1
2p-stages,0x04d5b800,0x9800,0x0de4dbe0,DMA,1
2p-stages,0x04d65000,0x9800,0x0de573e0,DMA,1
2p-stages,0x04d6e800,0x9800,0x0de60be0,DMA,1
2p-stages,0x04d78000,0x9800,0x0de6a3e0,DMA,1
2p-stages,0x04d81800,0x9800,0x0de73be0,DMA,1
2p-stages,0x04d8b000,0x9800,0x0de7d3e0,DMA,1
2p-stages,0x04d94800,0x4800,0x0de86be0,DMA,1
2p-stages,0x04d99000,0x9800,0x0de4dbe0,DMA,1
2p-stages,0x04da2800,0x9800,0x0de573e0,DMA,1
2p-stages,0x04dac000,0x9800,0x0de60be0,DMA,1
2p-stages,0x04db5800,0x9800,0x0de6a3e0,DMA,1
2p-stages,0x04dbf000,0x9800,0x0de73be0,DMA,1
2p-stages,0x04dc8800,0x9800,0x0de7d3e0,DMA,1
2p-stages,0x04dd2000,0x4800,0x0de86be0,DMA,1
2p-stages,0x04dd6800,0x9800,0x0de4dbe0,DMA,1
2p-stages,0x04de0000,0x9800,0x0de573e0,DMA,1
2p-stages,0x04de9800,0x9800,0x0de60be0,DMA,1
2p-stages,0x04df3000,0x9800,0x0de6a3e0,DMA,1
2p-stages,0x04dfc800,0x9800,0x0de73be0,DMA,1
